Feature,English,French
F0avg,0.0243757947393301,0.254190285588897
F0std,0.3645915731137839,0.1633373886830159
F0tiltavg,0.1245109483795859,-0.1893217633372862
F0mseavg,0.1166754421954992,0.3030692061636042
F0tiltstd,0.1125665634717553,0.2542017337563103
1F0std,0.3919502422385844,0.0127860540386422
lastF0avg,0.0494081619290316,0.2886155798053564
avgEvoiced,-0.0443787850886485,0.1267111409920055
stdEvoiced,-0.0355330710292741,0.2528143806924241
avgtiltEvoiced,-0.0108279335549517,-0.3487772533624576
stdtiltEvoiced,0.0236802022034905,0.2098408964228592
avgmseEvoiced,0.0303862772965811,0.1429620145029742
stdmseEvoiced,0.0322841914644652,0.1068901407499366
avg1Evoiced,0.2935441439214712,-0.2318107738523644
std1Evoiced,-0.1466548457762251,0.3737671169283543
avglastEvoiced,-0.2090256975121684,0.1779434153746654
stdlastEvoiced,-0.3070827993930428,0.3768245423222469
avgEunvoiced,-0.2238603750698907,0.133987296402281
stdEunvoiced,0.1543314839142058,-0.0190123284950979
avgtiltEunvoiced,-0.0307493493694317,0.1567657440460137
avgmseEunvoiced,0.1652338324371822,-0.0412868216264717
stdmseEunvoiced,0.1330045555024787,0.0070537253355424
avg1Eunvoiced,0.0894550305030839,-0.162870858159425
std1Eunvoiced,-0.2063856580411203,0.188992421411699
stdlastEunvoiced,0.2046115376640713,-0.0533537620338489
avgdurvoiced,-0.0414666797807691,0.0422290278512029
stddurvoiced,-0.3304915902882387,0.1768379844564789
avgdurunvoiced,-0.0350741457124387,-0.124056895485465
stddurunvoiced,-0.0848503103576122,0.1357055812904011
stddurpause,-0.1527434252050616,0.0185181774498236
PU,-0.0484050363451466,0.0095342889637184
UVU,0.0010704946571393,-0.1006976996584609
VVU,-0.0010704946571393,0.1006976996584616
UP,0.0501632586536631,-0.0097119939375798
