Feature,15_32,33_46,47_59,60_88
loudness_sma3_stddevNorm,0.2248150643144971,0.1732788353098585,0.0156246096434567,0.0356006892104329
mfcc2_sma3_amean,-0.0251146325408156,0.0300869583135918,0.2766861926287114,0.3247471651175024
mfcc4_sma3_amean,0.1523511629362396,0.0090781627047098,-0.1581585466378922,-0.3853306108025965
shimmerLocaldB_sma3nz_stddevNorm,0.188106208698798,0.0670508638464042,-0.0216754544895249,-0.0368975994437057
F1frequency_sma3nz_amean,-0.5582148151079079,-0.5887323555628405,-0.4178200840994722,-0.2772445898235582
F1bandwidth_sma3nz_amean,-0.1507682870536122,-0.1502233899516492,-0.1821553992629599,-0.3840222401148507
F2frequency_sma3nz_amean,-0.4846763392618414,-0.4774309552390393,-0.2009770010842176,0.1036022369729155
F2frequency_sma3nz_stddevNorm,0.3393326947951779,0.4284023785989983,0.5219590884805715,0.5860752717225652
F2bandwidth_sma3nz_amean,-0.271489958332452,-0.3247396172339183,-0.2771907744914898,-0.5203826549725461
F2bandwidth_sma3nz_stddevNorm,-0.2674025709260247,-0.2907506583691965,-0.0974316605201423,0.1913044220757814
F3frequency_sma3nz_amean,-0.6557906330746193,-0.6184776878545595,-0.4005794930559904,-0.0932385685135082
slopeV500-1500_sma3nz_amean,-0.226357445769249,-0.3557015620099938,-0.6715314763286129,-0.8225428412481857
slopeV500-1500_sma3nz_stddevNorm,-0.0251840644705842,0.0007678845323109,0.1336549691393912,0.1350859584743074
mfcc2V_sma3nz_amean,0.0085287044200553,0.0336387642334525,0.2675461450046512,0.3268091226267997
mfcc4V_sma3nz_amean,0.155283370158819,-0.0159298137097442,-0.1499821129619992,-0.4128177139748459
slopeUV500-1500_sma3nz_amean,-0.1539244669616329,-0.2404264027086848,-0.3477667253959947,-0.5215134931852576
